ticker,name,exchange,close,pe,pb,yield_pct,as_of
4523,永彰,TPEx,30.35,1.36,0.9,8.7,1150511
2911,麗嬰房,TWSE,5.11,2.38,0.69,,20260508
2718,全心投控,TPEx,41.2,2.43,0.57,13.35,1150511
1432,大魯閣,TWSE,16.85,2.79,1.09,11.87,20260508
3708,上緯投控,TWSE,118.5,2.9,0.62,5.06,20260508
2102,泰豐,TWSE,18.8,2.99,0.9,,20260508
4123,晟德,TPEx,38.3,3.11,1.08,5.87,1150511
3609,三一東林,TPEx,22.8,3.55,1.67,0.0,1150511
2442,新美齊,TWSE,18.65,3.62,0.83,14.48,20260508
2547,日勝生,TWSE,10.3,3.68,0.75,7.77,20260508
1456,怡華,TWSE,14.2,4.16,0.69,,20260508
9949,琉園,TPEx,24.0,4.54,1.84,9.17,1150511
4303,信立,TPEx,52.0,4.66,1.41,9.62,1150511
2915,潤泰全,TWSE,43.25,4.76,0.45,4.39,20260508
6186,新潤,TPEx,39.65,5.08,1.51,12.63,1150511
6596,寬宏藝術,TPEx,104.0,5.52,2.38,17.98,1150511
3188,鑫龍騰,TPEx,24.1,5.95,1.37,13.26,1150511
1608,華榮,TWSE,34.0,6.17,1.48,5.88,20260508
9945,潤泰新,TWSE,23.4,6.19,0.65,4.7,20260508
2536,宏普,TWSE,20.65,6.24,0.54,2.42,20260508
6171,大城地產,TPEx,,6.29,1.04,8.21,1150511
2528,皇普,TWSE,22.25,6.3,1.22,13.48,20260508
9904,寶成,TWSE,25.9,6.32,0.54,5.02,20260508
2816,旺旺保,TWSE,30.4,6.52,0.84,4.93,20260508
5511,德昌,TPEx,69.8,6.56,1.15,8.01,1150511
8077,洛碁,TPEx,40.0,6.62,1.76,5.0,1150511
1108,幸福,TWSE,14.55,6.67,1.02,6.87,20260508
5519,隆大,TWSE,33.1,6.67,1.17,11.48,20260508
2323,中環,TWSE,10.55,6.68,0.6,1.9,20260508
2603,長榮,TWSE,211.5,6.68,0.81,7.57,20260508
2615,萬海,TWSE,76.5,6.82,0.78,3.92,20260508
4763,材料*-KY,TWSE,41.9,6.87,2.08,7.28,20260508
2514,龍邦,TWSE,13.25,7.09,0.37,,20260508
5206,坤悅,TPEx,24.5,7.12,1.14,6.12,1150511
5455,昇益,TPEx,24.7,7.14,1.17,0.0,1150511
5547,久舜,TPEx,21.85,7.14,1.27,8.88,1150511
2610,華航,TWSE,18.55,7.25,1.1,4.42,20260508
2618,長榮航,TWSE,35.65,7.37,1.39,5.61,20260508
2505,國揚,TWSE,17.75,7.49,0.62,5.63,20260508
3284,太普高,TPEx,17.45,7.55,1.23,2.87,1150511
6807,峰源-KY,TWSE,35.4,7.55,0.73,7.06,20260508
4417,金洲,TPEx,46.45,7.58,1.21,7.53,1150511
6212,理銘,TPEx,30.0,7.58,0.82,0.0,1150511
4967,十銓,TWSE,298.0,7.63,3.57,3.36,20260508
1459,聯發,TWSE,11.9,7.68,1.07,1.68,20260508
5225,東科-KY,TWSE,74.4,8.04,1.87,9.69,20260508
2501,國建,TWSE,23.0,8.13,0.87,5.22,20260508
5520,力泰,TPEx,81.1,8.13,1.62,8.63,1150511
4736,泰博,TWSE,126.0,8.33,1.23,3.97,20260508
3512,皇龍,TPEx,20.35,8.34,0.87,8.85,1150511
1439,雋揚,TWSE,26.85,8.36,0.83,1.86,20260508
6625,必應,TWSE,74.0,8.4,2.27,6.76,20260508
2316,楠梓電,TWSE,112.5,8.41,1.62,1.78,20260508
5213,亞昕,TPEx,25.85,8.45,1.15,10.83,1150511
2851,中再保,TWSE,31.15,8.51,1.15,7.06,20260508
2031,新光鋼,TWSE,39.65,8.68,1.21,6.31,20260508
2636,台驊控股,TWSE,67.7,8.75,0.94,7.39,20260508
2607,榮運,TWSE,47.9,8.84,0.84,5.64,20260508
3356,奇偶,TWSE,55.1,8.87,1.77,6.35,20260508
2617,台航,TWSE,29.4,8.88,0.67,5.1,20260508
2535,達欣工,TWSE,74.2,8.9,1.95,6.2,20260508
6887,寶綠特-KY,TWSE,39.95,8.9,1.01,6.06,20260508
5515,建國,TWSE,39.95,8.92,1.53,8.26,20260508
1442,名軒,TWSE,27.1,8.94,1.24,8.86,20260508
2641,正德,TPEx,18.0,8.96,0.74,2.78,1150511
2852,第一保,TWSE,26.15,8.96,0.86,6.35,20260508
2546,根基,TWSE,85.4,8.97,1.85,7.03,20260508
2534,宏盛,TWSE,18.75,9.1,0.59,8.0,20260508
2731,雄獅,TWSE,159.5,9.12,3.0,8.03,20260508
5209,新鼎,TPEx,164.5,9.17,5.36,7.9,1150511
8401,白紗科,TPEx,24.2,9.2,1.41,4.96,1150511
